flight_id;departure_airport_code;arrival_airport_code;cost;departure_datetime;arrival_datetime
AZ123456;VCE;MXP;527.82;2021-05-03T07:00:02.000Z;2021-05-03T08:00:03.000Z
AZ123457;BLQ;MXP;82.78;2021-05-04T07:00:03.000Z;2021-05-04T08:00:04.000Z
AZ123458;FCO;MXP;413.92;2021-05-05T07:00:04.000Z;2021-05-05T08:00:05.000Z
AZ123459;MXP;VCE;430.81;2021-05-06T07:00:05.000Z;2021-05-06T08:00:06.000Z
AZ123460;VCE;BLQ;731.05;2021-05-07T07:00:06.000Z;2021-05-07T08:00:07.000Z
AZ123461;MXP;BLQ;576.21;2021-05-08T07:00:07.000Z;2021-05-08T08:00:08.000Z
AZ123462;FCO;MXP;128.32;2021-05-10T07:00:08.000Z;2021-05-10T08:00:09.000Z
AZ123463;MXP;VCE;982.57;2021-05-11T07:00:09.000Z;2021-05-11T08:00:10.000Z
AZ123464;FCO;VCE;429.24;2021-05-12T07:00:10.000Z;2021-05-12T08:00:11.000Z
AZ123465;BLQ;MXP;685.57;2021-05-13T07:00:11.000Z;2021-05-13T08:00:12.000Z
AZ123466;BLQ;VCE;974.20;2021-05-14T07:00:12.000Z;2021-05-14T08:00:13.000Z
AZ123467;VCE;MXP;631.01;2021-05-15T07:00:13.000Z;2021-05-15T08:00:14.000Z
AZ123468;FCO;BLQ;992.97;2021-05-16T07:00:14.000Z;2021-05-16T08:00:15.000Z
AZ123469;FCO;VCE;102.34;2021-05-17T07:00:15.000Z;2021-05-17T08:00:16.000Z
AZ123470;MXP;VCE;492.03;2021-05-18T07:00:16.000Z;2021-05-18T08:00:17.000Z
AZ123471;BLQ;FCO;789.13;2021-05-19T07:00:17.000Z;2021-05-19T08:00:18.000Z
AZ123472;MXP;FCO;62.36;2021-05-20T07:00:18.000Z;2021-05-20T08:00:19.000Z
AZ123473;VCE;BLQ;349.31;2021-05-21T07:00:19.000Z;2021-05-21T08:00:20.000Z
AZ123474;MXP;BLQ;911.76;2021-05-22T07:00:20.000Z;2021-05-22T08:00:21.000Z
AZ123475;FCO;VCE;19.69;2021-05-03T07:00:02.000Z;2021-05-03T08:00:03.000Z
AZ123476;BLQ;VCE;411.47;2021-05-04T07:00:03.000Z;2021-05-04T08:00:04.000Z
