flight_id;departure_airport_code;arrival_airport_code;cost;departure_datetime;arrival_datetime
CZ678901;VCE;MXP;772.11;2021-05-01T07:00:00.000Z;2021-05-01T08:00:01.000Z
CZ678902;BLQ;MXP;694.88;2021-05-02T07:00:01.000Z;2021-05-02T08:00:02.000Z
CZ678903;FCO;MXP;87.38;2021-05-03T07:00:02.000Z;2021-05-03T08:00:03.000Z
CZ678904;MXP;VCE;873.19;2021-05-04T07:00:03.000Z;2021-05-04T08:00:04.000Z
CZ678905;VCE;BLQ;911.33;2021-05-05T07:00:04.000Z;2021-05-05T08:00:05.000Z
CZ678906;MXP;BLQ;770.86;2021-05-06T07:00:05.000Z;2021-05-06T08:00:06.000Z
CZ678907;FCO;MXP;398.89;2021-05-07T07:00:06.000Z;2021-05-07T08:00:07.000Z
CZ678908;MXP;VCE;306.31;2021-05-08T07:00:07.000Z;2021-05-08T08:00:08.000Z
CZ678909;FCO;VCE;909.24;2021-05-10T07:00:08.000Z;2021-05-10T08:00:09.000Z
CZ678910;BLQ;MXP;34.09;2021-05-11T07:00:09.000Z;2021-05-11T08:00:10.000Z
CZ678911;BLQ;VCE;5.82;2021-05-12T07:00:10.000Z;2021-05-12T08:00:11.000Z
CZ678912;VCE;MXP;460.19;2021-05-13T07:00:11.000Z;2021-05-13T08:00:12.000Z
CZ678913;FCO;BLQ;569.13;2021-05-14T07:00:12.000Z;2021-05-14T08:00:13.000Z
CZ678914;FCO;VCE;484.93;2021-05-15T07:00:13.000Z;2021-05-15T08:00:14.000Z
CZ678915;MXP;VCE;957.32;2021-05-16T07:00:14.000Z;2021-05-16T08:00:15.000Z
CZ678916;BLQ;FCO;413.95;2021-05-17T07:00:15.000Z;2021-05-17T08:00:16.000Z
CZ678917;MXP;FCO;465.68;2021-05-18T07:00:16.000Z;2021-05-18T08:00:17.000Z
CZ678918;VCE;BLQ;410.71;2021-05-19T07:00:17.000Z;2021-05-19T08:00:18.000Z
CZ678919;MXP;BLQ;446.09;2021-05-20T07:00:18.000Z;2021-05-20T08:00:19.000Z
CZ678920;FCO;VCE;986.92;2021-05-21T07:00:19.000Z;2021-05-21T08:00:20.000Z
CZ678921;BLQ;VCE;228.80;2021-05-22T07:00:20.000Z;2021-05-22T08:00:21.000Z
